"user_login","id","ref","creds","user_id","membership_level","user_name"
"Bernard","3","logging_in","10","3","2","Bernard"
"Bernard","3","view_content","5","3","2","Bernard"
"Bernard","3","view_content","5","3","2","Bernard"
"Bernard","3","view_content","5","3","2","Bernard"
"Bernard","3","view_content","5","3","2","Bernard"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Bernard","3","view_content","5","3","2","Bernard"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Orange","4","logging_in","10","4","2","Orange"
"Orange","4","view_content","5","4","2","Orange"
"Orange","4","view_content","5","4","2","Orange"
"Orange","4","view_content","5","4","2","Orange"
"Orange","4","view_content","5","4","2","Orange"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Orange","4","view_content","5","4","2","Orange"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Orange","4","view_content","5","4","2","Orange"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Orange","4","view_content","5","4","2","Orange"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Orange","4","view_content","5","4","2","Orange"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Orange","4","view_content","5","4","2","Orange"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Orange","4","view_content","5","4","2","Orange"
"Karry","5","registration","10","5","2","Karry"
"Karry","5","logging_in","10","5","2","Karry"
"Karry","5","view_content","5","5","2","Karry"
"Karry","5","view_content","5","5","2","Karry"
"Karry","5","view_content","5","5","2","Karry"
"Karry","5","view_content","5","5","2","Karry"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Karry","5","view_content","5","5","2","Karry"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Karry","5","view_content","5","5","2","Karry"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
"Karry","5","view_content","5","5","2","Karry"
"Yvonne","2","view_content_author","1","2","2","Yvonne"
